subject_id,file_path,category,meaning,recommended_followup
sub-003,fpreproc/results/sub-003_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 0.91, tSNR 55.3)","High motion (mean FD 0.91, 72.2%>0.5); use as QC gate and reproducibility record."
sub-003,fpreproc/results/preprocessing/sub-003/sub-003_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-003,fpreproc/results/preprocessing/sub-003/sub-003_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-003,fpreproc/results/connectivity/sub-003/sub-003_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-003,fpreproc/results/connectivity/sub-003/sub-003_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 0.91, 72.2%>0.5)"
sub-003,fpreproc/results/connectivity/sub-003/sub-003_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 0.91, 72.2%>0.5)"
sub-003,fpreproc/results/connectivity/sub-003/sub-003_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-003,fpreproc/results/connectivity/sub-003/sub-003_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-003,fpreproc/results/connectivity/sub-003/sub-003_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-003,fpreproc/results/connectivity/sub-003/sub-003_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-003,fpreproc/results/connectivity/sub-003/sub-003_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-003,fpreproc/results/visualization/sub-003/sub-003_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-003,fpreproc/results/visualization/sub-003/sub-003_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-004,fpreproc/results/sub-004_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 4.93, tSNR 37.6)","High motion (mean FD 4.93, 98.6%>0.5); Low tSNR 37.6; use as QC gate and reproducibility record."
sub-004,fpreproc/results/preprocessing/sub-004/sub-004_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-004,fpreproc/results/preprocessing/sub-004/sub-004_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-004,fpreproc/results/connectivity/sub-004/sub-004_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-004,fpreproc/results/connectivity/sub-004/sub-004_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 4.93, 98.6%>0.5); Low tSNR 37.6"
sub-004,fpreproc/results/connectivity/sub-004/sub-004_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 4.93, 98.6%>0.5); Low tSNR 37.6"
sub-004,fpreproc/results/connectivity/sub-004/sub-004_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-004,fpreproc/results/connectivity/sub-004/sub-004_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-004,fpreproc/results/connectivity/sub-004/sub-004_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-004,fpreproc/results/connectivity/sub-004/sub-004_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-004,fpreproc/results/connectivity/sub-004/sub-004_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-004,fpreproc/results/visualization/sub-004/sub-004_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-004,fpreproc/results/visualization/sub-004/sub-004_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-005,fpreproc/results/sub-005_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 3.57, tSNR 43.9)","High motion (mean FD 3.57, 96.8%>0.5); use as QC gate and reproducibility record."
sub-005,fpreproc/results/preprocessing/sub-005/sub-005_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-005,fpreproc/results/preprocessing/sub-005/sub-005_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-005,fpreproc/results/connectivity/sub-005/sub-005_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-005,fpreproc/results/connectivity/sub-005/sub-005_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 3.57, 96.8%>0.5)"
sub-005,fpreproc/results/connectivity/sub-005/sub-005_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 3.57, 96.8%>0.5)"
sub-005,fpreproc/results/connectivity/sub-005/sub-005_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-005,fpreproc/results/connectivity/sub-005/sub-005_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-005,fpreproc/results/connectivity/sub-005/sub-005_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-005,fpreproc/results/connectivity/sub-005/sub-005_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-005,fpreproc/results/connectivity/sub-005/sub-005_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-005,fpreproc/results/visualization/sub-005/sub-005_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-005,fpreproc/results/visualization/sub-005/sub-005_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-006,fpreproc/results/sub-006_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 269, mean FD 4.00, tSNR 49.1)","High motion (mean FD 4.00, 97.4%>0.5); use as QC gate and reproducibility record."
sub-006,fpreproc/results/preprocessing/sub-006/sub-006_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-006,fpreproc/results/preprocessing/sub-006/sub-006_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-006,fpreproc/results/connectivity/sub-006/sub-006_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-006,fpreproc/results/connectivity/sub-006/sub-006_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 4.00, 97.4%>0.5)"
sub-006,fpreproc/results/connectivity/sub-006/sub-006_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 4.00, 97.4%>0.5)"
sub-006,fpreproc/results/connectivity/sub-006/sub-006_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-006,fpreproc/results/connectivity/sub-006/sub-006_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-006,fpreproc/results/connectivity/sub-006/sub-006_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-006,fpreproc/results/connectivity/sub-006/sub-006_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-006,fpreproc/results/connectivity/sub-006/sub-006_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-006,fpreproc/results/visualization/sub-006/sub-006_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-006,fpreproc/results/visualization/sub-006/sub-006_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-007,fpreproc/results/sub-007_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 246, mean FD 6.60, tSNR 43.1)","High motion (mean FD 6.60, 99.6%>0.5); use as QC gate and reproducibility record."
sub-007,fpreproc/results/preprocessing/sub-007/sub-007_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-007,fpreproc/results/preprocessing/sub-007/sub-007_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-007,fpreproc/results/connectivity/sub-007/sub-007_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-007,fpreproc/results/connectivity/sub-007/sub-007_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 6.60, 99.6%>0.5)"
sub-007,fpreproc/results/connectivity/sub-007/sub-007_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 6.60, 99.6%>0.5)"
sub-007,fpreproc/results/connectivity/sub-007/sub-007_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-007,fpreproc/results/connectivity/sub-007/sub-007_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-007,fpreproc/results/connectivity/sub-007/sub-007_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-007,fpreproc/results/connectivity/sub-007/sub-007_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-007,fpreproc/results/connectivity/sub-007/sub-007_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-007,fpreproc/results/visualization/sub-007/sub-007_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-007,fpreproc/results/visualization/sub-007/sub-007_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-008,fpreproc/results/sub-008_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 10.24, tSNR 53.3)","High motion (mean FD 10.24, 99.6%>0.5); use as QC gate and reproducibility record."
sub-008,fpreproc/results/preprocessing/sub-008/sub-008_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-008,fpreproc/results/preprocessing/sub-008/sub-008_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-008,fpreproc/results/connectivity/sub-008/sub-008_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-008,fpreproc/results/connectivity/sub-008/sub-008_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 10.24, 99.6%>0.5)"
sub-008,fpreproc/results/connectivity/sub-008/sub-008_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 10.24, 99.6%>0.5)"
sub-008,fpreproc/results/connectivity/sub-008/sub-008_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-008,fpreproc/results/connectivity/sub-008/sub-008_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-008,fpreproc/results/connectivity/sub-008/sub-008_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-008,fpreproc/results/connectivity/sub-008/sub-008_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-008,fpreproc/results/connectivity/sub-008/sub-008_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-008,fpreproc/results/visualization/sub-008/sub-008_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-008,fpreproc/results/visualization/sub-008/sub-008_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-009,fpreproc/results/sub-009_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 3.08, tSNR 44.1)","High motion (mean FD 3.08, 95.4%>0.5); use as QC gate and reproducibility record."
sub-009,fpreproc/results/preprocessing/sub-009/sub-009_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-009,fpreproc/results/preprocessing/sub-009/sub-009_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-009,fpreproc/results/connectivity/sub-009/sub-009_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-009,fpreproc/results/connectivity/sub-009/sub-009_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 3.08, 95.4%>0.5)"
sub-009,fpreproc/results/connectivity/sub-009/sub-009_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 3.08, 95.4%>0.5)"
sub-009,fpreproc/results/connectivity/sub-009/sub-009_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-009,fpreproc/results/connectivity/sub-009/sub-009_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-009,fpreproc/results/connectivity/sub-009/sub-009_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-009,fpreproc/results/connectivity/sub-009/sub-009_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-009,fpreproc/results/connectivity/sub-009/sub-009_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-009,fpreproc/results/visualization/sub-009/sub-009_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-009,fpreproc/results/visualization/sub-009/sub-009_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-010,fpreproc/results/sub-010_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 3.38, tSNR 46.8)","High motion (mean FD 3.38, 96.4%>0.5); use as QC gate and reproducibility record."
sub-010,fpreproc/results/preprocessing/sub-010/sub-010_smoothed.nii.gz,preprocessing,Final preprocessed fMRI in MNI space with smoothing applied,Scrub high-FD volumes or add ICA-AROMA/regressors before stats. Save clean copy if reprocessed.
sub-010,fpreproc/results/preprocessing/sub-010/sub-010_motion_params.txt,preprocessing,Framewise motion parameters from MCFLIRT/AFNI (6 DOF + derivatives),Use to compute scrubbing frames and as nuisance regressors in GLM/FC.
sub-010,fpreproc/results/connectivity/sub-010/sub-010_roi_timeseries.npy,connectivity,Atlas-averaged time series (AAL 116 ROIs) extracted from preprocessed fMRI,Check for spikes; align censoring with motion outliers. Scrub high-FD volumes or add ICA-AROMA/regressors before stats.
sub-010,fpreproc/results/connectivity/sub-010/sub-010_fc_correlation.npy,connectivity,ROI-to-ROI Pearson correlation matrix (symmetric 116x116),"Apply Fisher z/threshold; recompute after motion scrubbing. High motion (mean FD 3.38, 96.4%>0.5)"
sub-010,fpreproc/results/connectivity/sub-010/sub-010_fc_partial_correlation.npy,connectivity,Partial correlation matrix controlling shared variance,"Use for sparse graphs; validate stability after nuisance regression. High motion (mean FD 3.38, 96.4%>0.5)"
sub-010,fpreproc/results/connectivity/sub-010/sub-010_graph_metrics.json,connectivity,"Graph measures derived from FC (density, modularity, etc.)",Interpret only after network thresholding and motion control; compare against nulls.
sub-010,fpreproc/results/connectivity/sub-010/sub-010_ica_components.nii.gz,ica,Spatial ICA maps (20 components) with accompanying timecourses/classifications,Review classifications; remove noise components before group analysis.
sub-010,fpreproc/results/connectivity/sub-010/sub-010_ica_classifications.json,ica,Noise vs signal labels per ICA component with high-frequency ratios,Confirm labels manually; rerun ICA after scrubbing if motion-driven artifacts dominate.
sub-010,fpreproc/results/connectivity/sub-010/sub-010_ec_granger.npy,effective_connectivity,Directed connectivity matrix (target x source) from Granger causality,Check stationarity; rerun after nuisance cleanup to reduce spurious directionality.
sub-010,fpreproc/results/connectivity/sub-010/sub-010_ec_transfer_entropy.npy,effective_connectivity,Directed connectivity matrix estimated via transfer entropy,Validate symmetry/asymmetry patterns; ensure adequate sample length after censoring.
sub-010,fpreproc/results/visualization/sub-010/sub-010_network_viz_metadata.json,visualization,"Paths to glass brain, 3D, circular, and matrix visualizations of FC",Use for QC/presentation; regenerate after any connectivity changes.
sub-010,fpreproc/results/visualization/sub-010/sub-010_activation_viz_metadata.json,visualization,"Metadata for mean functional image, tSNR map, and ICA component snapshots",Inspect for dropouts or residual motion; rerun after cleaning if artifacts persist.
sub-011,fpreproc/results/sub-011_pipeline_results.json,provenance,"Per-subject pipeline record (nTP 281, mean FD 3.01, tSNR 53.0)","High motion (mean FD 3.01, 97.2%>0.5); use as QC gate and reproducibility record."
